Lot No,Description,Shape,Size,Pcs,Wt (cts),Color,Clarity,Certificate,Video,Cut,POL,SYM,FL,M1,M2,M3,TAB,DEP,Rap ($),Dis,Total,Price,Name,Average weight
201438,,Lab Grown Oval 5.6 x,,2,0.68,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201439,,Lab Grown Oval 5.6 x,,7,2.48,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201440,,Lab Grown Oval 5.6 x,,4,1.48,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201441,,Lab Grown Oval 5.6 x,,4,1.63,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201442,,Lab Grown Oval 5.6 x,,3,1.27,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201443,,Lab Grown Oval 5.6 x,,4,1.76,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201444,,Lab Grown Oval 5.6 x,,1,0.46,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2015,,Lab Grown Oval 5.7,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201537,,Lab Grown Oval 5.7 x,,1,0.35,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201538,,Lab Grown Oval 5.7 x,,1,0.31,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201539,,Lab Grown Oval 5.7 x,,3,1.11,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201540,,Lab Grown Oval 5.7 x,,4,1.54,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201541,,Lab Grown Oval 5.7 x,,8,3.34,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201542,,Lab Grown Oval 5.7 x,,2,0.82,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201543,,Lab Grown Oval 5.7 x,,1,0.43,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201544,,Lab Grown Oval 5.7 x,,1,0.42,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201545,,Lab Grown Oval 5.7 x,,1,0.50,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2016,,Lab Grown Oval 5.8,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201639,,Lab Grown Oval 5.8 x,,2,0.79,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201640,,Lab Grown Oval 5.8 x,,1,0.33,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
